ESTATECODE,SELLINGMARK,WAREHOUSENAME,GRADE,CHEST,NET WT.,INV #,LOT #,M / S,BUY/C,BUYER,,Valuation,UpperValuation,LEAFStandard,INFUSEDRemarks,LiquorRemark,LimitPrice,MinPrice,AskingPrice,PRICE
MF0292,POONAGALLA,E.B. STORES,BM,20,700,0602R,393,M,A8,AKBAR BROTHERS (PVT) LTD,,800,820,Bold,Mixed,Plain,0,400,820,680
MF0494,AMPITTIAKANDE,E.B. STORES,BM,10,300,0679R,394,M,CETP,CETCO TEAS (PVT) LIMITED,,950,970,Clean,Aroma,Quality,0,400,970,850
MF0494,AMPITTIAKANDE,E.B. STORES,BP,10,394,0568R,395,M,A8,AKBAR BROTHERS (PVT) LTD,,950,970,,,,0,400,970,890
MF0683,CRAIG,E.B. STORES,BP,10,450,0914R,396,M,A8,AKBAR BROTHERS (PVT) LTD,,900,920,,,,0,400,920,920
MF0683,CRAIG,E.B. STORES,BP,10,480,0935R,397,M,S33,STASSEN EXPORTS LTD,,950,970,,,,0,400,970,940
MF0683,CRAIG,E.B. STORES,BM,20,760,0897R,398,M,,,,900,920,Bold,Mixed,Plain,0,400,920,0
MF0683,CRAIG,E.B. STORES,BM,10,320,0933R,399,M,CETP,CETCO TEAS (PVT) LIMITED,,980,1000,Clean,Aroma,Quality,0,500,1000,860
MF0683,CRAIG,E.B. STORES,BP,10,417,0848R,400,M,S33,STASSEN EXPORTS LTD,,900,920,,,,0,400,920,860
MF0243,KINELLAN,E.B. STORES,FGS1,15,780,510,401,M,A8,AKBAR BROTHERS (PVT) LTD,,850,870,Bold,Mixed,Plain,0,400,870,760
MF0243,KINELLAN,E.B. STORES,BP,10,460,0520R,402,M,MF4,MILLENNIUM TEAS (PVT) LTD,,950,970,,,,0,400,970,940
MF0234,GONAKELLE,E.B. STORES,FGS1,10,500,0686R,403,M,A8,AKBAR BROTHERS (PVT) LTD,,840,860,Bold,Mixed,Plain,0,400,860,770
MF0234,GONAKELLE,E.B. STORES,FGS1,20,1000,0729R,404,M,A8,AKBAR BROTHERS (PVT) LTD,,830,850,Bold,Mixed,Plain,0,400,850,750
MF0234,GONAKELLE,E.B. STORES,BM,20,637,0672R,405,M,CETP,CETCO TEAS (PVT) LIMITED,,900,920,Bold,Mixed,Plain,0,400,920,860
MF0668,HINDAGALA,E.B. STORES,FGS,10,400,0673R,406,M,,,,850,870,Bold,Mixed,Plain,0,400,870,0
MF0668,HINDAGALA,E.B. STORES,BP,10,400,0708R,407,M,A8,AKBAR BROTHERS (PVT) LTD,,950,970,,,,0,400,970,900
